Player,teamAbbreviation,GP,MPG,PTS,REB,AST,STL,BLK,TO,FG%,3P%,FT%
Justin_Holiday,DEN,58,14.9,4,1.2,1.2,0.6,0.2,0.2,45.4,40.4,75
Reggie_Jackson,DEN,82,22.2,10.2,1.9,3.8,0.5,0.2,1.3,43.1,35.9,80.6
DeAndre_Jordan,DEN,36,11,3.9,4.4,0.7,0.2,0.4,0.6,62.4,,49.1
Aaron_Gordon,DEN,73,31.5,13.9,6.5,3.5,0.8,0.6,1.4,55.6,29,65.8
Nikola_Jokic,DEN,79,34.6,26.4,12.4,9,1.4,0.9,3,58.3,35.9,81.7
Jamal_Murray,DEN,59,31.5,21.2,4.1,6.5,1,0.7,2.1,48.1,42.5,85.3
Michael_Porter_Jr.,DEN,81,31.7,16.7,7,1.5,0.5,0.7,1.1,48.4,39.7,83.6
Zeke_Nnaji,DEN,58,9.9,3.2,2.2,0.6,0.3,0.7,0.5,46.3,26.1,67.7
Jay_Huff,DEN,20,2.5,1.2,0.6,0.1,0.1,0.2,0.1,60,33.3,100
Braxton_Key,DEN,20,3,1.1,0.9,0.5,0.1,0.1,0.1,41.2,40,75
Collin_Gillespie,DEN,24,9.4,3.6,0.9,1.1,0.5,0,0.6,46.4,39.5,66.7
Peyton_Watson,DEN,80,18.6,6.7,3.2,1.1,0.5,1.1,0.7,46.5,29.6,67
Christian_Braun,DEN,82,20.2,7.3,3.7,1.6,0.5,0.4,0.7,46,38.4,69.4
Julian_Strawther,DEN,50,10.9,4.5,1.2,0.9,0.3,0.1,0.5,36.9,29.7,71
Hunter_Tyson,DEN,18,2.7,1.1,0.5,0.1,0.1,0,0.1,40,28.6,
Jalen_Pickett,DEN,27,4.5,1.6,0.5,0.8,0.1,0,0.3,42.9,36,75
Alec_Burks,DET,43,21,12.6,2.6,1.6,0.5,0.3,0.7,39.4,40.1,90.3
Evan_Fournier,DET,29,18.7,7.2,1.9,1.6,0.9,0.2,0.7,37.3,27,79.4
Danilo_Gallinari,DET,6,15,8.7,2.3,2,0.3,0.3,0.2,54.5,58.3,87.5
Taj_Gibson,DET,4,9.8,4.5,2.3,0.5,0.3,0.3,0,57.1,50,
Bojan_Bogdanovic,DET,28,32.9,20.2,3.4,2.5,0.8,0.1,2.3,46.8,41.5,77.9
Mike_Muscala,DET,13,13.2,3.5,2.2,0.8,0.2,0.4,0.2,34.1,38.2,50
Joe_Harris,DET,16,10.6,2.4,0.8,0.6,0.2,0.1,0.3,35.9,33.3,50
Monte_Morris,DET,6,11.3,4.5,2,1.3,0.2,0.2,0.3,36.4,18.2,50
Marvin_Bagley_III,DET,26,18.4,10.2,4.5,1,0.2,0.5,1.1,59.1,16.7,82
Kevin_Knox_II,DET,31,18.1,7.2,2.4,0.7,0.4,0.2,0.7,46.2,33,90.9
Troy_Brown_Jr.,DET,22,19,4.2,3.3,1.1,0.7,0,0.5,29.6,28.1,86.7
Chimezie_Metu,DET,14,29.4,10.5,6,1.9,1.7,0.5,1.8,50,30.2,95.2
